streetAddress,addressLocality,postalCode,addressCountry,latitude,longitude
Roscrea Bypass,Roscrea,E53 RD76,IE,52.946545,-7.797023
Ennis Road,Kilrush,V15 AA66,IE,52.641820,-9.480620
CULLAHILL,Cullohill,R32 TFR9,IE,52.817186,-7.476880
Dublin Road,Fermoy,P61 PF64,IE,52.145672,-8.277568
Rathangan Road,Monasterevin,W34 HX82,IE,53.143122,-7.056486
Aiden Street,Kiltimagh,F12 E8N0,IE,53.853780,-8.995198
Sandy Row,Castlefinn,F93 XD8V,IE,54.802757,-7.592160
Gort,Fahan,F93 C9NP,IE,55.077934,-7.453494
Carnmore,Oranmore,H91 W9KH,IE,53.303847,-8.942217
Lynn Road,Mullingar,N91 X0PR,IE,53.515429,-7.342169
Dublin Road,Ardee,A92 H2NA,IE,53.850380,-6.538794
Monaghan Road,Cork,T12 H9CF,IE,51.896930,-8.457835
Main Street,Inishannon,T12 C6VA,IE,51.765596,-8.660541
New Ring Road,Castlebar,F23 R667,IE,53.854204,-9.305842
Donegal Road,Killybegs,F94 XDP7,IE,54.644440,-8.432342
Donegal Road,Ballybofey,F93 A6C1,IE,54.794961,-7.795010
Loughanure,Annagry,F94 T44T,IE,54.998406,-8.289396
Carnew Road,Gorey,Y25 W9W2,IE,52.671948,-6.317970
Blackhorse,Drinagh,Y35 PX2D,IE,52.299997,-6.458841
Mulranney Road,Newport,F28 F8X0,IE,53.887570,-9.545234
Ennis Road,Kilmihill,V15 AV63,IE,52.720772,-9.317487
Cotteen,Derrybeg,F92 HH0V,IE,55.077434,-8.290945
Gort Road,Ennis,V95 YE89,IE,52.852760,-8.983232
Prior Park,Clonmel,E91 DY07,IE,52.360463,-7.700418
LissaRoada,Lissarda,P14 D328,IE,51.851936,-8.865371
Ambassador Centre,Dooradoyle,V94 C8HT,IE,52.636740,-8.654375
Farrahy Road,Kildorrery,P67 FX67,IE,52.245626,-8.429357
Roscrea Road,Templemore,E41 YC80,IE,52.804365,-7.831206
N84,Headford,H91 ECK1,IE,53.468597,-9.106120
Lynn Industrial Est,Mullingar,N91 RFC8,IE,53.520294,-7.344937
Doonard,Craughwell,H91 EH2H,IE,53.227109,-8.731302
Rossmount,New Ross,Y34 AW63,IE,52.405497,-6.935425
Dublin Road,Carrick-on Shannon,N41 Y4D8,IE,53.943885,-8.070947
Port Road,Letterkenny,F92 VWV9,IE,54.952276,-7.724962
Dundalk Road,Carrickmacross,A81 KX03,IE,53.969037,-6.700901
Dublin Road,Dundalk,A91 YN3F,IE,53.988305,-6.398265
"Aghaboys, Ballymascanlon",Dundalk,A91 HN0C,IE,54.034400,-6.374079
Cappanilly,Borrisoleigh,E41 X4E8,IE,52.754402,-7.962455
Castlemaine Rd,Castlemaine,V93 VF50,IE,52.164346,-9.700608
Youghal Road,Dungarvan,X35 XT71,IE,52.083822,-7.634146
Main Street,Balla,F23 HW31,IE,53.805376,-9.130932
St. Mary's Road,Edenderry,R45 PY95,IE,53.335936,-7.062100
Doonan,Donegal Town,F94 RKP5,IE,54.656379,-8.118280
Chapel St,Dunmanaway,P47 K683,IE,51.723974,-9.107553
RIVERSIDE GROVE,Riverstick,P43 W680,IE,51.771884,-8.495705
Brackhill,Castlemaine,V93 VF50,IE,52.164576,-9.701455
Tullamore Road,Kilbeggan,N91 FNV0,IE,53.363131,-7.496679
Ardnaglass,Pettigo,F94 V9PY,IE,54.552498,-7.833842
Mell,Drogheda,A92 XW3K,IE,53.718147,-6.364331
Abbey Road,Thurles,E41 F9N1,IE,52.675660,-7.827290
Creighanroe,Castleblayney,A75 PK66,IE,54.184779,-6.735312
Moybridge,Emyvale,H18 DW95,IE,54.400106,-6.977357
Waterford Road,Clonmel,E91 H5K6,IE,52.359634,-7.660067
Leitrim Road,Carrick-on-shannon,N41 A5D5,IE,53.948513,-8.091797
"Moneen, Westport Rd",Louisberg,F28 AD65,IE,53.765863,-9.791929
Neale Road,Ballinrobe,F31 Y009,IE,53.616515,-9.222965
Patrick Street,Castlerea,F45 HP26,IE,53.762117,-8.486273
Crowe St,Crowe Street,H91 FR8A,IE,53.070425,-8.821765
New Ring Road,Castlebar,F23 Y673,IE,53.848293,-9.301645
Kilbride,Dublin Road,F12 C6E8,IE,53.942340,-8.937798
Bannagher Road,Birr,R42 X585,IE,53.102327,-7.915125
Brackernagh,Ballinasloe,H53 V4H0,IE,53.324829,-8.237213
Mountmellick Road,Portlaoise,R32 T2YA,IE,53.050958,-7.320686
Main Street,Dublin 15,D15 AX2N,IE,53.390732,-6.381603
Abbeytrinity Road,Tuam,H54 YK54,IE,53.513944,-8.856985
Racecourse Road,Roscommon,F42 YX00,IE,53.641564,-8.211157
Dublin Road,Camphill,H62 NP89,IE,53.201100,-8.557070
Roscommon Road,Athlone,N37 X0V6,IE,53.426779,-7.960140
Moness,Burt,F93 NY7P,IE,55.032063,-7.454028
Ford Centre,Knocklong,V35 D293,IE,52.437688,-8.411732
Millbrae,Carndonagh,F93 TDF4,IE,55.248672,-7.263945
Clonard Rd,Clonard Little,Y35 XND4,IE,52.330195,-6.494048
Westport Road,Clifden,H71 E337,IE,53.489372,-10.020615
Hempfield,Enniscorthy,Y21 DW01,IE,52.508362,-6.558417
Circular Road,Breaffy Road,F26 E9X0,IE,54.117055,-9.155255
Castle Road,Blackrock,T12 CXD7,IE,51.896786,-8.420792
Corgrigg,Foynes,V94 W62W,IE,52.607697,-9.101782
Dock Rd,Limerick,V94 P2TH,IE,52.656075,-8.646819
Limerick Road,Mallow,P51 NX3F,IE,52.146570,-8.656280
Moville,Carndonagh,F93 DW6N,IE,55.188374,-7.045461
Portlaoise Road,Graiguecullen,R93 Y3Y7,IE,52.840361,-6.946371
